"genes"	"HGNC.symbol"
"4014"	"Cd2"	"CD2"
"4015"	"Mrpl43"	"MRPL43"
"4016"	"Gpr65"	"GPR65"
"4017"	"Psmc1"	"PSMC1"
"4018"	"Sox6"	"SOX6"
"4019"	"Rgs16"	"RGS16"
"4020"	"1700017B05Rik"	"C15orf39"
"4021"	"Pnmt"	"PNMT"
"4022"	"Trim66"	"TRIM66"
"4023"	"Ifi208"	"IFI16"
"4024"	"Erf"	"ERF"
"4025"	"Iqsec1"	"IQSEC1"
"4026"	"Slc10a1"	"SLC10A1"
"4027"	"Olfr1453"	"OR5B3"
"4028"	"Ints12"	"INTS12"
"4029"	"Acot2"	"ACOT1"
"4030"	"Acot2"	"ACOT2"
"4031"	"Pou4f2"	"POU4F2"
"4032"	"Prph"	"PRPH"
"4033"	"Stox2"	"STOX2"
"4034"	"Myh3"	"MYH3"
"4035"	"Zdhhc16"	"ZDHHC16"
"4036"	"Prkab2"	"PRKAB2"
"4037"	"Ifngr1"	"IFNGR1"
"4038"	"Nek3"	"NEK3"
"4039"	"Atp5a1"	"ATP5F1A"
"4040"	"Alg14"	"ALG14"
"4041"	"Cox8a"	"COX8A"
"4042"	"Fbxw4"	"FBXW4"
"4043"	"Serpina3k"	"SERPINA3"
"4044"	"Met"	"MET"
"4045"	"Fam209"	"FAM209B"
"4046"	"Anapc10"	"ANAPC10"
"4047"	"Zfp532"	"ZNF532"
"4048"	"Pik3cd"	"PIK3CD"
"4049"	"Nipa1"	"NIPA1"
"4050"	"Plppr2"	"PLPPR2"
"4051"	"Dpy30"	"DPY30"
"4052"	"Pdap1"	"PDAP1"
"4053"	"Ptbp2"	"PTBP2"
"4054"	"Tspan14"	"TSPAN14"
"4055"	"Trip13"	"TRIP13"
"4056"	"Fhl5"	"FHL5"
"4057"	"Rptn"	"RPTN"
"4058"	"Rhog"	"RHOG"
"4059"	"Hist1h4n"	"H4-16"
"4060"	"Krit1"	"KRIT1"
"4061"	"Ociad1"	"OCIAD1"
"4062"	"Map6"	"MAP6"
"4063"	"1110059E24Rik"	"C9orf85"
"4064"	"Ankrd24"	"ANKRD24"
"4065"	"Jmjd7"	"JMJD7"
"4066"	"Lrrc19"	"LRRC19"
"4067"	"Spata25"	"SPATA25"
"4068"	"Nkx3-2"	"NKX3-2"
"4069"	"Stard4"	"STARD4"
"4070"	"Foxm1"	"FOXM1"
"4071"	"3110040N11Rik"	"C15orf40"
"4072"	"Hmgxb4"	"HMGXB4"
"4073"	"Cidea"	"CIDEA"
"4074"	"Olfr1491"	"OR10Q1"
"4075"	"Irf7"	"IRF7"
"4076"	"Spo11"	"SPO11"
"4077"	"Serpina3m"	"SERPINA3"
"4078"	"Vps51"	"VPS51"
"4079"	"Rngtt"	"RNGTT"
"4080"	"Trpm1"	"TRPM1"
"4081"	"Mapk9"	"MAPK9"
"4082"	"Slc26a8"	"SLC26A8"
"4083"	"Apom"	"APOM"
"4084"	"Ppic"	"PPIC"
"4085"	"2610528A11Rik"	"C10orf99"
"4086"	"Pcca"	"PCCA"
"4087"	"Nup50"	"NUP50"
"4088"	"Fktn"	"FKTN"
"4089"	"Nanp"	"NANP"
"4090"	"Rnf11"	"RNF11"
"4091"	"Kcnq4"	"KCNQ4"
"4092"	"Ash2l"	"ASH2L"
"4093"	"Lelp1"	"LELP1"
"4094"	"Fbxo24"	"FBXO24"
"4095"	"Cers1"	"GDF1"
"4096"	"Cers1"	"CERS1"
"4097"	"Camk1d"	"CAMK1D"
"4098"	"Tmco2"	"TMCO2"
"4099"	"Pdzrn3"	"PDZRN3"
"4100"	"Pphln1"	"PPHLN1"
"4101"	"Ifi214"	"IFI16"
"4102"	"Mmachc"	"MMACHC"
"4103"	"Hivep3"	"HIVEP3"
"4104"	"Stk32b"	"STK32B"
"4105"	"Erp44"	"ERP44"
"4106"	"Slc22a5"	"SLC22A5"
"4107"	"Thbs2"	"THBS2"
"4108"	"Antxrl"	"ANTXRL"
"4109"	"Phrf1"	"PHRF1"
"4110"	"Wdr18"	"WDR18"
"4111"	"Myo1e"	"MYO1E"
"4112"	"Pcdha2"	"PCDHA2"
"4113"	"Hsd17b12"	"HSD17B12"
"4114"	"Tank"	"TANK"
"4115"	"Ube2d1"	"UBE2D1"
"4116"	"Lmbrd2"	"LMBRD2"
"4117"	"Zfp202"	"ZNF202"
"4118"	"Olfr490"	"OR5P2"
"4119"	"Ceacam15"	"CEACAM4"
"4120"	"Ceacam15"	"CEACAM7"
"4121"	"Ceacam15"	"CEACAM6"
"4122"	"Ceacam15"	"CEACAM5"
"4123"	"Ceacam15"	"CEACAM3"
"4124"	"Arl14ep"	"ARL14EP"
"4125"	"Ncam2"	"NCAM2"
"4126"	"Psg26"	"CEACAM4"
"4127"	"Psg26"	"CEACAM7"
"4128"	"Psg26"	"CEACAM6"
"4129"	"Psg26"	"CEACAM5"
"4130"	"Psg26"	"CEACAM3"
"4131"	"Sf3b2"	"SF3B2"
"4132"	"Ulk2"	"ULK2"
"4133"	"Prr33"	"PRR33"
"4134"	"Adal"	"ADAL"
"4135"	"Mfsd4b5"	"MFSD4B"
"4136"	"Ttc39c"	"TTC39C"
"4137"	"Gm10024"	"KRTAP10-9"
"4138"	"Gm10024"	"KRTAP10-6"
"4139"	"Coq3"	"COQ3"
"4140"	"Csf2"	"CSF2"
"4141"	"Rnf182"	"RNF182"
"4142"	"Tyr"	"TYR"
"4143"	"Cbln3"	"CBLN3"
"4144"	"Thumpd3"	"THUMPD3"
"4145"	"Ptar1"	"PTAR1"
"4146"	"Nfe2"	"NFE2"
"4147"	"Rab11a"	"RAB11A"
"4148"	"Cnmd"	"CNMD"
"4149"	"Mapk8ip3"	"MAPK8IP3"
"4150"	"Psg29"	"CEACAM4"
"4151"	"Psg29"	"CEACAM7"
"4152"	"Psg29"	"CEACAM6"
"4153"	"Psg29"	"CEACAM5"
"4154"	"Psg29"	"CEACAM3"
"4155"	"Pglyrp3"	"PGLYRP3"
"4156"	"Aspg"	"ASPG"
"4157"	"Cks2"	"CKS2"
"4158"	"Sergef"	"SERGEF"
"4159"	"Srsf6"	"SRSF6"
"4160"	"Anxa2"	"ANXA2"
"4161"	"Slitrk5"	"SLITRK5"
"4162"	"Eif3j1"	"EIF3J"
"4163"	"Snap29"	"SNAP29"
"4164"	"Ccdc153"	"CCDC153"
"4165"	"Fam136a"	"FAM136A"
"4166"	"Tcte3"	"TCTE3"
"4167"	"Faim2"	"FAIM2"
"4168"	"Akr1a1"	"AKR1A1"
"4169"	"Cfap61"	"CFAP61"
"4170"	"Carmil3"	"CARMIL3"
"4171"	"Slc22a21"	"SLC22A5"
"4172"	"Elovl5"	"ELOVL5"
"4173"	"Zfp385b"	"ZNF385B"
"4174"	"Dot1l"	"DOT1L"
"4175"	"Txndc11"	"TXNDC11"
"4176"	"Srsf10"	"SRSF10"
"4177"	"Rasgrp3"	"RASGRP3"
"4178"	"Zcwpw1"	"ZCWPW1"
"4179"	"Casp6"	"CASP6"
"4180"	"Atp8b1"	"ATP8B1"
"4181"	"Mepce"	"MEPCE"
"4182"	"Usp16"	"USP16"
"4183"	"Dcaf11"	"DCAF11"
"4184"	"Cabyr"	"CABYR"
"4185"	"Ttc22"	"TTC22"
"4186"	"Ginm1"	"GINM1"
"4187"	"Usp25"	"USP25"
"4188"	"Onecut2"	"ONECUT2"
"4189"	"Fshb"	"FSHB"
"4190"	"Chtop"	"CHTOP"
"4191"	"Thap7"	"THAP7"
"4192"	"Sik3"	"SIK3"
"4193"	"Sgtb"	"SGTB"
"4194"	"Rad17"	"RAD17"
"4195"	"Slc7a2"	"SLC7A2"
"4196"	"Mbtps2"	"MBTPS2"
"4197"	"Nlgn2"	"NLGN2"
"4198"	"Aagab"	"AAGAB"
"4199"	"Adi1"	"ADI1"
"4200"	"Smad3"	"SMAD3"
"4201"	"Ccr8"	"CCR8"
"4202"	"Lin28a"	"LIN28A"
"4203"	"Grik2"	"GRIK2"
"4204"	"Cd300lg"	"CD300LG"
"4205"	"Cpxm1"	"CPXM1"
"4206"	"Stmn3"	"STMN3"
"4207"	"Majin"	"MAJIN"
"4208"	"Plekhd1"	"PLEKHD1"
"4209"	"Hnrnpa1"	"HNRNPA1"
"4210"	"Lrrc3b"	"LRRC3B"
"4211"	"Ube2q1"	"UBE2Q1"
"4212"	"Szrd1"	"SZRD1"
"4213"	"Sez6l"	"SEZ6L"
"4214"	"Psg20"	"CEACAM4"
"4215"	"Psg20"	"CEACAM7"
"4216"	"Psg20"	"CEACAM6"
"4217"	"Psg20"	"CEACAM5"
"4218"	"Psg20"	"CEACAM3"
"4219"	"Parp8"	"PARP8"
"4220"	"Cyth4"	"CYTH4"
"4221"	"Nme5"	"NME5"
"4222"	"Set"	"SET"
"4223"	"Flii"	"FLII"
"4224"	"Sema7a"	"SEMA7A"
"4225"	"Tfap2d"	"TFAP2D"
"4226"	"Negr1"	"NEGR1"
"4227"	"Slc35a1"	"SLC35A1"
"4228"	"Tnfrsf12a"	"TNFRSF12A"
"4229"	"Madd"	"MADD"
"4230"	"Adamts3"	"ADAMTS3"
"4231"	"Slc25a1"	"SLC25A1"
"4232"	"Tecr"	"TECR"
"4233"	"Sco1"	"SCO1"
"4234"	"Fndc4"	"FNDC4"
"4235"	"Ccdc146"	"CCDC146"
"4236"	"Arrdc5"	"ARRDC5"
"4237"	"Zfp91"	"ZFP91-CNTF"
"4238"	"Zfp91"	"ZFP91"
"4239"	"Creld1"	"CRELD1"
"4240"	"Pira2"	"LILRA6"
"4241"	"Pira2"	"LILRB3"
"4242"	"Pira2"	"LILRB5"
"4243"	"Pira2"	"LILRA5"
"4244"	"Pira2"	"LILRA4"
"4245"	"Olfr1390"	"OR2Y1"
"4246"	"Ublcp1"	"UBLCP1"
"4247"	"Tcp10b"	"TCP10L"
"4248"	"Fbxo10"	"FBXO10"
"4249"	"Kdm4c"	"KDM4C"
"4250"	"BC049715"	"C12orf60"
"4251"	"Il17rc"	"IL17RC"
"4252"	"Armc6"	"ARMC6"
"4253"	"Klrb1c"	"KLRB1"
"4254"	"Mavs"	"MAVS"
"4255"	"Lin28b"	"LIN28B"
"4256"	"Dock5"	"DOCK5"
"4257"	"Sfxn4"	"SFXN4"
"4258"	"Gatm"	"GATM"
"4259"	"Nrg3"	"NRG3"
"4260"	"Psmb2"	"PSMB2"
"4261"	"Prom1"	"PROM1"
"4262"	"Zfp697"	"ZNF697"
"4263"	"Alpk3"	"ALPK3"
"4264"	"Fam72a"	"FAM72C"
"4265"	"Fam72a"	"FAM72D"
"4266"	"Tpgs1"	"TPGS1"
"4267"	"Mapre2"	"MAPRE2"
"4268"	"Ap5b1"	"AP5B1"
"4269"	"Ap3s2"	"AP3S2"
"4270"	"Inpp4a"	"INPP4A"
"4271"	"Pex12"	"PEX12"
"4272"	"Mcmbp"	"MCMBP"
"4273"	"Mier2"	"MIER2"
"4274"	"Parp12"	"PARP12"
"4275"	"Tmem95"	"TMEM95"
"4276"	"Arpp21"	"ARPP21"
"4277"	"Nrep"	"NREP"
"4278"	"Cd53"	"CD53"
"4279"	"Prr5l"	"PRR5L"
"4280"	"Aqp11"	"AQP11"
"4281"	"Aknad1"	"AKNAD1"
"4282"	"Ceacam5"	"CEACAM4"
"4283"	"Ceacam5"	"CEACAM7"
"4284"	"Ceacam5"	"CEACAM6"
"4285"	"Ceacam5"	"CEACAM5"
"4286"	"Ceacam5"	"CEACAM3"
"4287"	"Smchd1"	"SMCHD1"
"4288"	"Rab30"	"RAB30"
"4289"	"Neo1"	"NEO1"
"4290"	"Lama4"	"LAMA4"
"4291"	"Olfr221"	"OR5AU1"
"4292"	"Adra2b"	"ADRA2B"
"4293"	"Pcdhb6"	"PCDHB5"
"4294"	"5031439G07Rik"	"KIAA0930"
"4295"	"Gnpda1"	"GNPDA1"
"4296"	"Dmrt2"	"DMRT2"
"4297"	"Paxbp1"	"PAXBP1"
"4298"	"Nars"	"NARS1"
"4299"	"Plp2"	"PLP2"
"4300"	"Dock9"	"DOCK9"
"4301"	"Pcdha6"	"PCDHA6"
"4302"	"Pcdha6"	"PCDHA8"
"4303"	"Pygo1"	"PYGO1"
"4304"	"Cav2"	"CAV2"
"4305"	"Gper1"	"GPER1"
"4306"	"Pcdha8"	"PCDHA7"
"4307"	"Pcdha8"	"PCDHA9"
"4308"	"Ino80c"	"INO80C"
"4309"	"Tchhl1"	"TCHHL1"
"4310"	"Prkce"	"PRKCE"
"4311"	"Pde6h"	"PDE6H"
"4312"	"Arid3a"	"ARID3A"
"4313"	"S100a3"	"S100A3"
"4314"	"Zfp174"	"ZNF174"
"4315"	"Ccdc73"	"CCDC73"
"4316"	"Ppm1g"	"PPM1G"
"4317"	"Pbx2"	"PBX2"
"4318"	"Tmem200b"	"TMEM200B"
"4319"	"Eif3a"	"EIF3A"
"4320"	"Tbx15"	"TBX15"
"4321"	"Smim7"	"SMIM7"
"4322"	"Rab38"	"RAB38"
"4323"	"Pltp"	"PLTP"
"4324"	"Mrps30"	"MRPS30"
"4325"	"Tnnc2"	"TNNC2"
"4326"	"Actb"	"ACTB"
"4327"	"Zfp84"	"ZNF781"
"4328"	"Olfr1462"	"OR5B3"
"4329"	"Odf3l2"	"ODF3L2"
"4330"	"1700123L14Rik"	"NUP50"
"4331"	"Cd70"	"CD70"
"4332"	"Slc35g1"	"SLC35G1"
"4333"	"Snap25"	"SNAP25"
"4334"	"Srsf3"	"SRSF3"
"4335"	"Map3k5"	"MAP3K5"
"4336"	"Ctps"	"CTPS1"
"4337"	"Cdk7"	"CDK7"
"4338"	"Ebi3"	"EBI3"
"4339"	"Acyp1"	"ACYP1"
"4340"	"Clns1a"	"CLNS1A"
"4341"	"Olfr497"	"OR5P2"
"4342"	"Pcdhb10"	"PCDHB5"
"4343"	"Eif3f"	"EIF3F"
"4344"	"Ptprcap"	"PTPRCAP"
"4345"	"Nr4a3"	"NR4A3"
"4346"	"Elovl2"	"ELOVL2"
"4347"	"Lef1"	"LEF1"
"4348"	"Kcna2"	"KCNA2"
"4349"	"Rai1"	"RAI1"
"4350"	"Rpusd4"	"RPUSD4"
"4351"	"Gpr88"	"GPR88"
"4352"	"Ppp1r9a"	"PPP1R9A"
"4353"	"Nup210"	"NUP210"
"4354"	"Ift88"	"IFT88"
"4355"	"Impact"	"IMPACT"
"4356"	"Trim14"	"TRIM14"
"4357"	"Mall"	"MALL"
"4358"	"Lnx2"	"LNX2"
"4359"	"Calca"	"CALCA"
"4360"	"Secisbp2"	"SECISBP2"
"4361"	"Znhit6"	"ZNHIT6"
"4362"	"Trpm5"	"TRPM5"
"4363"	"Zfp850"	"ZNF780A"
"4364"	"Agpat4"	"AGPAT4"
"4365"	"Stap2"	"STAP2"
"4366"	"Actl9"	"ACTL9"
"4367"	"Spsb2"	"SPSB2"
"4368"	"Eya1"	"EYA1"
"4369"	"Ago3"	"AGO3"
"4370"	"Trmt5"	"TRMT5"
"4371"	"Eml6"	"EML6"
"4372"	"0610010F05Rik"	"KIAA1841"
"4373"	"Olfr1373"	"OR2Y1"
"4374"	"Tmigd3"	"ADORA3"
"4375"	"Men1"	"MEN1"
"4376"	"Cd83"	"CD83"
"4377"	"Pkn1"	"PKN1"
"4378"	"Siglec15"	"SIGLEC15"
"4379"	"Pon1"	"PON1"
"4380"	"Otog"	"OTOG"
"4381"	"Elavl4"	"ELAVL4"
"4382"	"Gm13547"	"GOLGA8T"
"4383"	"Gm13547"	"GOLGA8R"
"4384"	"Gm13547"	"GOLGA8Q"
"4385"	"Gm13547"	"GOLGA8H"
"4386"	"Gm13547"	"GOLGA6C"
"4387"	"Gm13547"	"GOLGA6D"
"4388"	"Gm13547"	"GOLGA8S"
"4389"	"Ndufa5"	"NDUFA5"
"4390"	"Myb"	"MYB"
"4391"	"Inpp5f"	"INPP5F"
"4392"	"Aqp2"	"AQP2"
"4393"	"Hsfy2"	"HSFY1"
"4394"	"Hsfy2"	"HSFY2"
"4395"	"C3"	"C3"
"4396"	"Mutyh"	"MUTYH"
"4397"	"Dnph1"	"DNPH1"
"4398"	"Ticrr"	"TICRR"
"4399"	"Gpat2"	"GPAT2"
"4400"	"Gpi1"	"GPI"
"4401"	"Olfr1265"	"OR4X2"
"4402"	"Ankrd17"	"ANKRD17"
"4403"	"Sh3rf1"	"SH3RF1"
"4404"	"Hpgds"	"HPGDS"
"4405"	"Olfr1392"	"OR2Y1"
"4406"	"Prickle1"	"PRICKLE1"
"4407"	"Zbtb46"	"ZBTB46"
"4408"	"Dlat"	"DLAT"
"4409"	"Paxip1"	"PAXIP1"
"4410"	"Tex12"	"TEX12"
"4411"	"C1qtnf4"	"C1QTNF4"
"4412"	"Eomes"	"EOMES"
"4413"	"Bag3"	"BAG3"
"4414"	"Mical3"	"MICAL3"
"4415"	"Tecta"	"TECTA"
"4416"	"Gucy1a2"	"GUCY1A2"
"4417"	"Ganc"	"GANC"
"4418"	"Med26"	"MED26"
"4419"	"Mnt"	"MNT"
"4420"	"Prmt6"	"PRMT6"
"4421"	"Dpf2"	"DPF2"
"4422"	"Akirin2"	"AKIRIN2"
"4423"	"Slc35g3"	"SLC35G3"
"4424"	"Slc35g3"	"SLC35G4"
"4425"	"Fuz"	"FUZ"
"4426"	"Med9"	"MED9"
"4427"	"Cnot6"	"CNOT6"
"4428"	"Mef2c"	"MEF2C"
"4429"	"Ets2"	"ETS2"
"4430"	"Rfpl4b"	"RFPL4B"
"4431"	"Psg17"	"CEACAM4"
"4432"	"Psg17"	"CEACAM7"
"4433"	"Psg17"	"CEACAM6"
"4434"	"Psg17"	"CEACAM5"
"4435"	"Psg17"	"CEACAM3"
"4436"	"Cfap206"	"CFAP206"
"4437"	"Ppp2r5b"	"PPP2R5B"
"4438"	"Phospho2"	"PHOSPHO2"
"4439"	"Pcgf1"	"PCGF1"
"4440"	"Dnm2"	"DNM2"
"4441"	"Rab1b"	"RAB1B"
"4442"	"Srgap2"	"SRGAP2B"
"4443"	"Synrg"	"SYNRG"
"4444"	"Hoxb8"	"HOXB8"
"4445"	"Ckap2l"	"CKAP2L"
"4446"	"Adarb2"	"ADARB2"
"4447"	"Bbs9"	"BBS9"
"4448"	"Add3"	"ADD3"
"4449"	"Rragd"	"RRAGD"
"4450"	"Gabrr2"	"GABRR2"
"4451"	"Sim1"	"SIM1"
"4452"	"Npm3"	"NPM3"
"4453"	"Kif7"	"KIF7"
"4454"	"Enpp3"	"ENPP3"
"4455"	"Poll"	"POLL"
"4456"	"Yif1a"	"YIF1A"
"4457"	"Ccdc90b"	"CCDC90B"
"4458"	"Flot2"	"FLOT2"
"4459"	"Serpinb9d"	"SERPINB9"
"4460"	"Tmem128"	"TMEM128"
"4461"	"Ctsg"	"CTSG"
"4462"	"Cyp2d10"	"CYP2D7"
"4463"	"Naa60"	"NAA60"
"4464"	"Lyrm2"	"LYRM2"
"4465"	"Rtel1"	"RTEL1-TNFRSF6B"
"4466"	"Retsat"	"RETSAT"
"4467"	"Ccm2"	"CCM2"
"4468"	"Adamts7"	"ADAMTS7"
"4469"	"Pik3c2a"	"PIK3C2A"
"4470"	"Jup"	"JUP"
"4471"	"Habp2"	"HABP2"
"4472"	"Cd8b1"	"CD8B"
"4473"	"Ccny"	"CCNY"
"4474"	"Wrnip1"	"WRNIP1"
"4475"	"Fryl"	"FRYL"
"4476"	"L3mbtl2"	"L3MBTL2"
"4477"	"Dcdc2c"	"DCDC2C"
"4478"	"Erp27"	"ERP27"
"4479"	"Spag7"	"SPAG7"
"4480"	"Smoc1"	"SMOC1"
"4481"	"Lrrc75b"	"LRRC75B"
"4482"	"Synj1"	"SYNJ1"
"4483"	"Thoc6"	"THOC6"
"4484"	"Ddias"	"DDIAS"
"4485"	"Lrit1"	"LRIT1"
"4486"	"Epha2"	"EPHA2"
"4487"	"Rnmt"	"RNMT"
"4488"	"Zfp322a"	"ZNF322"
"4489"	"Klrb1b"	"KLRB1"
"4490"	"Psg19"	"CEACAM4"
"4491"	"Psg19"	"CEACAM7"
"4492"	"Psg19"	"CEACAM6"
"4493"	"Psg19"	"CEACAM5"
"4494"	"Psg19"	"CEACAM3"
"4495"	"Olfr494"	"OR5P2"
"4496"	"Pi4ka"	"PI4KA"
"4497"	"Emilin2"	"EMILIN2"
"4498"	"Nadsyn1"	"NADSYN1"
"4499"	"Crip3"	"CRIP3"
"4500"	"Mok"	"MOK"
"4501"	"Homer3"	"HOMER3"
"4502"	"Rap1a"	"RAP1A"
"4503"	"Unc50"	"UNC50"
"4504"	"Ccdc77"	"CCDC77"
"4505"	"C1qbp"	"C1QBP"
"4506"	"Tmem65"	"TMEM65"
"4507"	"Tsen34"	"TSEN34"
"4508"	"Casd1"	"CASD1"
"4509"	"Vcam1"	"VCAM1"
"4510"	"Itga8"	"ITGA8"
"4511"	"Fkbp10"	"FKBP10"
"4512"	"Cnga3"	"CNGA3"
"4513"	"Vasn"	"VASN"
"4514"	"S100a5"	"S100A5"
"4515"	"Hax1"	"HAX1"
"4516"	"Cyp2w1"	"CYP2W1"
"4517"	"Snx9"	"SNX9"
"4518"	"Bhlhe23"	"BHLHE23"
"4519"	"0610040J01Rik"	"C4orf19"
"4520"	"Adam33"	"ADAM33"
"4521"	"Ccdc74a"	"CCDC74B"
"4522"	"Fam45a"	"DENND10"
"4523"	"Rbm38"	"RBM38"
"4524"	"Rpa2"	"RPA2"
"4525"	"Pcdhac1"	"PCDHAC1"
"4526"	"Enpp1"	"ENPP1"
"4527"	"Snx2"	"SNX2"
"4528"	"Arid1b"	"ARID1B"
"4529"	"Npm2"	"NPM2"
"4530"	"Sos2"	"SOS2"
"4531"	"Ecsit"	"ECSIT"
"4532"	"Elp4"	"ELP4"
"4533"	"Fut9"	"FUT9"
"4534"	"Impa2"	"IMPA2"
"4535"	"H2-Eb2"	"HLA-DRB5"
"4536"	"H2-Eb2"	"HLA-DRB1"
"4537"	"Morc2a"	"MORC2"
"4538"	"Mslnl"	"MSLNL"
"4539"	"Mettl17"	"METTL17"
"4540"	"Olfr517"	"OR10A6"
"4541"	"Olfr517"	"OR10A3"
"4542"	"Agbl2"	"AGBL2"
"4543"	"Hmox1"	"HMOX1"
"4544"	"Ncapg2"	"NCAPG2"
"4545"	"Htr1b"	"HTR1B"
"4546"	"Auts2"	"AUTS2"
"4547"	"Wdr3"	"WDR3"
"4548"	"Accsl"	"ACCSL"
"4549"	"Acoxl"	"ACOXL"
"4550"	"Tgfb3"	"TGFB3"
"4551"	"Cyp2d40"	"CYP2D7"
"4552"	"Nek9"	"NEK9"
"4553"	"Tspan11"	"TSPAN11"
"4554"	"Upk3a"	"UPK3A"
"4555"	"Gpr139"	"GPR139"
"4556"	"Cdc42ep2"	"CDC42EP2"
"4557"	"Panx2"	"PANX2"
"4558"	"Wrap53"	"WRAP53"
"4559"	"Pcm1"	"PCM1"
"4560"	"Sbsn"	"SBSN"
"4561"	"Map2k5"	"MAP2K5"
"4562"	"Btbd18"	"BTBD18"
"4563"	"Rnf24"	"RNF24"
"4564"	"Mag"	"MAG"
"4565"	"Slc25a40"	"SLC25A40"
"4566"	"Ilf3"	"ILF3"
"4567"	"Clcc1"	"CLCC1"
"4568"	"Grm8"	"GRM8"
"4569"	"Ate1"	"ATE1"
"4570"	"Atp13a2"	"ATP13A2"
"4571"	"Olfr1371"	"OR2Y1"
"4572"	"Polr1e"	"POLR1E"
"4573"	"Sema4b"	"SEMA4B"
"4574"	"Cd79a"	"CD79A"
"4575"	"Agfg2"	"AGFG2"
"4576"	"Klrg2"	"KLRG2"
"4577"	"Hnrnpll"	"HNRNPLL"
"4578"	"Gm13889"	"C11orf96"
"4579"	"Etnppl"	"ETNPPL"
"4580"	"Fgf5"	"FGF5"
"4581"	"Sc5d"	"SC5D"
"4582"	"Kdm7a"	"KDM7A"
"4583"	"Olfm4"	"OLFM4"
"4584"	"Olfr1382"	"OR2Y1"
"4585"	"Hmgcl"	"HMGCL"
"4586"	"Trim38"	"TRIM38"
"4587"	"Naa20"	"NAA20"
"4588"	"Cep41"	"CEP41"
"4589"	"Rasef"	"RASEF"
"4590"	"Sec24b"	"SEC24B"
"4591"	"P4ha2"	"P4HA2"
"4592"	"Sap30l"	"SAP30L"
"4593"	"Rora"	"RORA"
"4594"	"Slc25a28"	"SLC25A28"
"4595"	"Apbb1"	"APBB1"
"4596"	"Wdr37"	"WDR37"
"4597"	"Rgr"	"RGR"
"4598"	"Pcsk5"	"PCSK5"
"4599"	"Zfp595"	"ZNF724"
"4600"	"Zfp595"	"ZNF681"
"4601"	"Gal3st3"	"GAL3ST3"
"4602"	"Pnrc2"	"PNRC2"
"4603"	"Krtap10-10"	"KRTAP10-11"
"4604"	"Krtap10-10"	"KRTAP10-4"
"4605"	"Krtap10-10"	"KRTAP10-9"
"4606"	"Krtap10-10"	"KRTAP10-6"
"4607"	"Abcb1a"	"ABCB1"
"4608"	"Hus1"	"HUS1"
"4609"	"Psd2"	"PSD2"
"4610"	"Ccne1"	"CCNE1"
"4611"	"Vcpkmt"	"VCPKMT"
"4612"	"Ccz1"	"CCZ1"
"4613"	"Rps6kl1"	"RPS6KL1"
"4614"	"Ppp1r35"	"PPP1R35"
"4615"	"Pcdhb17"	"PCDHB16"
"4616"	"Mas1"	"MAS1"
"4617"	"Bicc1"	"BICC1"
"4618"	"Mpp3"	"MPP3"
"4619"	"Bcam"	"BCAM"
"4620"	"1600012H06Rik"	"C6orf120"
"4621"	"Elp5"	"ELP5"
"4622"	"Fam120b"	"FAM120B"
"4623"	"Ccl21b"	"CCL21"
"4624"	"Vps37a"	"VPS37A"
"4625"	"Zfr"	"ZFR"
"4626"	"Pcdhac2"	"PCDHAC2"
"4627"	"Rps27a"	"RPS27A"
"4628"	"Eif3m"	"EIF3M"
"4629"	"Krtap10-4"	"KRTAP10-11"
"4630"	"Krtap10-4"	"KRTAP10-4"
"4631"	"Krtap10-4"	"KRTAP10-9"
"4632"	"Krtap10-4"	"KRTAP10-6"
"4633"	"Cdk11b"	"CDK11B"
"4634"	"Cdk11b"	"CDK11A"
"4635"	"4933430I17Rik"	"C9orf43"
"4636"	"Mrps18b"	"MRPS18B"
"4637"	"Pgf"	"PGF"
"4638"	"Gria4"	"GRIA4"
"4639"	"Ggt1"	"GGT1"
"4640"	"Ggt1"	"GGT2"
"4641"	"Serpinb1c"	"SERPINB1"
"4642"	"Gpc5"	"GPC5"
"4643"	"Atp10a"	"ATP10A"
"4644"	"1700020L24Rik"	"C17orf50"
"4645"	"8030462N17Rik"	"C18orf25"
"4646"	"Lrrc3"	"LRRC3"
"4647"	"Coro7"	"CORO7-PAM16"
"4648"	"Coro7"	"CORO7"
"4649"	"Slfn4"	"SLFN12"
"4650"	"Slfn4"	"SLFN12L"
"4651"	"Serpind1"	"SERPIND1"
"4652"	"Gm20605"	"LRCH4"
"4653"	"Morn5"	"MORN5"
"4654"	"Syde2"	"SYDE2"
"4655"	"Rassf7"	"RASSF7"
"4656"	"Ptger3"	"PTGER3"
"4657"	"Pdgfrl"	"PDGFRL"
"4658"	"Pip4k2a"	"PIP4K2A"
"4659"	"Ube4b"	"UBE4B"
"4660"	"Glipr2"	"GLIPR2"
"4661"	"Fgl2"	"FGL2"
"4662"	"Smc1b"	"SMC1B"
"4663"	"Prep"	"PREP"
"4664"	"Araf"	"ARAF"
"4665"	"Lypla2"	"LYPLA2"
"4666"	"Tnfsf9"	"TNFSF9"
"4667"	"Ednra"	"EDNRA"
"4668"	"Nmt2"	"NMT2"
"4669"	"Fmo5"	"FMO5"
"4670"	"Marco"	"MARCO"
"4671"	"Atl2"	"ATL2"
"4672"	"Zmym2"	"ZMYM2"
"4673"	"Depdc5"	"DEPDC5"
"4674"	"Slco6c1"	"SLCO6A1"
"4675"	"Drg2"	"DRG2"
